deprivation,covid,logspend,spend
54.944,0,2.152731215674159,8.61
54.944,0,2.535597194614361,12.62
54.944,0,2.2855261186544418,9.83
54.944,0,2.220408112746717,9.21
54.944,0,2.2747152040933356,9.73
54.944,0,2.429774653927472,11.36
54.944,0,2.8402230645681543,17.12
54.944,0,2.614604075902999,13.66
54.944,0,2.246666531525747,9.46
54.944,0,2.094755074873106,8.12
54.944,0,2.27722294810977,9.75
54.944,0,2.2468735265147926,9.46
54.944,0,2.4039104622328678,11.07
54.944,0,1.9561803185115194,7.07
54.944,0,2.391806239910263,10.93
54.944,0,2.5416681173469104,12.7
54.944,0,1.9173221261402094,6.8
54.944,0,2.0836951450346315,8.03
54.944,0,2.483673514260582,11.99
54.944,0,2.2301375276874515,9.3
54.944,0,2.190708703175947,8.94
54.944,0,2.166251776784806,8.73
54.944,0,2.251375334584203,9.5
54.944,0,2.47197879986176,11.85
54.944,0,2.7302823229013984,15.34
54.944,0,2.315974310470474,10.13
54.944,0,2.445939259290038,11.54
54.944,0,2.187038629487353,8.91
54.944,0,2.134069187706595,8.45
54.944,0,2.2896484276406537,9.87
54.944,0,2.407867436997445,11.11
54.944,0,2.4616827484079904,11.72
54.944,0,2.437618291264362,11.45
54.944,0,2.3534797443650444,10.52
54.944,0,2.200346337506902,9.03
54.944,0,2.347427329843835,10.46
54.944,0,2.5597368112504575,12.93
54.944,0,2.092284627071704,8.1
54.944,0,1.9412184212816963,6.97
54.944,0,2.227118906514716,9.27
54.944,0,2.395775231108939,10.98
54.944,0,2.5086116900194346,12.29
54.944,0,2.3948070478534604,10.97
54.944,0,2.484292401304562,11.99
54.944,0,2.269694207766564,9.68
54.944,0,2.402285727862112,11.05
54.944,0,2.39118510551543,10.93
54.944,0,1.9316851337090286,6.9
54.944,0,2.4627267768949452,11.74
54.944,0,2.2084425883103904,9.1
54.944,0,2.0687388199669337,7.91
54.944,0,2.3690612008870358,10.69
54.944,0,2.2525725088496347,9.51
54.944,0,2.529355682151472,12.55
54.944,0,2.5262653765341265,12.51
54.944,0,2.44630466541785,11.55
54.944,0,2.2845409625297743,9.82
54.944,0,2.7253313112338335,15.26
54.944,0,2.5230927910552468,12.47
54.944,0,2.204480398001993,9.07
54.944,0,2.370763931601213,10.71
54.944,0,2.1145245913950714,8.29
54.944,0,2.7691683077660527,15.95
54.944,0,2.551472221636138,12.83
54.944,0,2.4815102055490734,11.96
54.944,0,2.3767631892678054,10.77
54.944,0,2.4776681505382134,11.91
54.944,0,2.305599899060567,10.03
54.944,0,2.0800048348236535,8
54.944,0,2.6136742267827997,13.65
54.944,0,2.437836825229173,11.45
54.944,0,2.2385777668082865,9.38
54.944,0,2.5995711121067524,13.46
54.944,0,1.9891546123337005,7.31
54.944,0,2.303380312444408,10.01
54.944,0,2.5319144537715723,12.58
54.944,0,2.1820594637848836,8.86
54.944,0,2.7416236136105017,15.51
54.944,0,2.4195403600324075,11.24
54.944,0,2.68275772087823,14.63
54.944,0,2.5145566647005406,12.36
54.944,0,2.2312127505621238,9.31
54.944,0,2.314900310614417,10.12
54.944,0,2.1784350954368783,8.83
54.944,0,2.3112171147414338,10.09
54.944,0,2.1097321519653462,8.25
54.944,0,2.681518695079065,14.61
54.944,0,2.376435243561704,10.77
54.944,0,2.360789069021508,10.6
54.944,0,2.0590162894697475,7.84
54.944,0,2.545010167998781,12.74
54.944,0,2.2737775587339057,9.72
54.944,0,2.4501867903745636,11.59
54.944,0,2.1838853806470935,8.88
54.944,0,1.9337603891702915,6.92
54.944,0,2.347570662531394,10.46
54.944,0,2.342898487964122,10.41
54.944,0,2.3811193876785137,10.82
54.944,0,2.0955270910213395,8.13
54.944,0,2.334503658976172,10.32
23.437,0,2.50214225433503,12.21
23.437,0,3.1328291261713925,22.94
23.437,0,2.50926639663764,12.3
23.437,0,2.574332326767423,13.12
23.437,0,2.870214352801107,17.64
23.437,0,2.6683254582454436,14.42
23.437,0,2.593587152896557,13.38
23.437,0,2.7541994727408228,15.71
23.437,0,3.119899696176919,22.64
23.437,0,2.5222449307225467,12.46
23.437,0,2.7169806808937693,15.13
23.437,0,2.687289017743793,14.69
23.437,0,3.0462905979379102,21.04
23.437,0,3.113550973835064,22.5
